OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
21ARIZGW,Arizona Department of Environmental Quality,21ARIZGW-0103901130-011990-0,Sample,Water,,1990-01-03,11:30:00,MST,,,,,,,,,,,GW,,21ARIZGW-006086,,,,,STANDARD,STANDARD,STANDARD,Unknown,*Non-detect,Lead,Total,,,,Final,,Actual,,,,,,NOT DETECTED,,,,,,,EPA 239.2,21ARIZGW,,,,,,,.02,mg/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,10:15:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-3,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,4.3,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1990-0000436-1990,Sample,Water,,1990-01-10,13:15:00,,,,,.33,ft,,,,,,NCLEGACY,,21NC01WQ-N9250000,X-sec location horizontal: 50.0% from R bank facing upstream,,,,LEGACY,LEGACY,LEGACY,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21NC01WQ,,,,,,,10,ug/l,,STORET
21SCSANT,Santee Cooper - South Carolina Public Service Authority,21SCSANT-L12194764-W-BS 01-1990-0,Sample,Water,,1990-01-03,10:00:00,,,,,1,ft,,,,,,ABS AMB,,21SCSANT-SC-020,,,,,LEGACY SCP,LEGACY SCP,LEGACY SCP,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,3500-PB(B),APHA,,,,,,,30,ug/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,09:20:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-55,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,6.3,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,10:15:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-131,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,5.6,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,07:35:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-1,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,5.7,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,08:50:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-102,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,5.2,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1990-0000264-1990,Sample,Water,,1990-01-04,09:55:00,,,,,.33,ft,,,,,,NCLEGACY,,21NC01WQ-O9751000,X-sec location horizontal: 50.0% from R bank facing upstream,,,,LEGACY,LEGACY,LEGACY,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21NC01WQ,,,,,,,10,ug/l,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1990-0000256-1990,Sample,Water,,1990-01-04,10:30:00,,,,,.33,ft,,,,,,NCLEGACY,,21NC01WQ-O9750500,X-sec location horizontal: 50.0% from R bank facing upstream,,,,LEGACY,LEGACY,LEGACY,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21NC01WQ,,,,,,,10,ug/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,12:45:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-98,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,6.5,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21FLSFWM,South Florida Water Management District,21FLSFWM-90SA09I50STQ-1990-0,Sample,Water,Surface Water,1990-01-09,09:50:00,EST,,,,.5,m,,,,,,CAMB,,21FLSFWM-S12B,,,,,G,G,G,Unknown,,Lead,Total,0.51,ug/l,,Final,,Actual,,,,,,,,,,,,,WQ-1,21FLSFWM,,,SOUTH FLORIDA WATER MANAGEMENT DISTRICT,,,,,,,STORET
21SCSANT,Santee Cooper - South Carolina Public Service Authority,21SCSANT-L12197985-W-LMS 01-1990-0,Sample,Water,,1990-01-04,10:30:00,,,,,1,ft,,,,,,ABS AMB,,21SCSANT-SC-024,,,,,LEGACY SCP,LEGACY SCP,LEGACY SCP,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,3500-PB(B),APHA,,,,,,,30,ug/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,07:55:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-54,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,7,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21FLSFWM,South Florida Water Management District,21FLSFWM-90SA09L50STQ-1990-0,Sample,Water,Surface Water,1990-01-09,12:50:00,EST,,,,.5,m,,,,,,ENP,,21FLSFWM-S332,,,,,G,G,G,Unknown,*Non-detect,Lead,Total,,,,Final,,Actual,,,,,,,,,,,,,WQ-1,21FLSFWM,,,SOUTH FLORIDA WATER MANAGEMENT DISTRICT,,,,,,,STORET
21COL001,Colorado Dept. of Public Health & Environment,21COL001-1990-01234LW-COLO1990-0,Sample,Water,,1990-01-08,12:00:00,MST,,,,,,,,,,,SWMN,,21COL001-000076,,,,,HISTORIC,HISTORIC,HISTORIC,Unknown,*Non-detect,Lead,Dissolved,,,,Final,,Actual,,,,,,,,,,,,,HISTORIC,21COL001,,,Historic Lab for Legacy Data,,,,5.00000,ug/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,10:35:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-108,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,5.5,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,11:25:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-34,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,5.1,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21SCSANT,Santee Cooper - South Carolina Public Service Authority,21SCSANT-L12186140-W-CWSR 01-1990-0,Sample,Water,,1990-01-09,11:10:00,,,,,1,ft,,,,,,ABS AMB,,21SCSANT-SC-002,,,,,LEGACY SCP,LEGACY SCP,LEGACY SCP,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,3500-PB(B),APHA,,,,,,,30,ug/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,09:30:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-50,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,2.8,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,10:30:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-52,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,1.1,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21FLORAN,Orange County Environmental Protection (Florida),21FLORAN-111271591-011990-0,Sample,Water,Water,1990-01-10,09:07:00,EST,,,,0.5,m,,,,,,AMB,,21FLORAN-BE9W,,,,,SP-001,SP-001,SP-001,Unknown,,Lead,Total,0.001,mg/l,,Final,,Actual,,,,,,"Units, MDL and Qualifier Code Corrections 8/31/05 LLD QAO",,,,,,,200.7(W),USEPA,,,Orange County Environmental Protection Div Curry Ford Lab,,,,0.001,mg/l,,STORET
21FLORAN,Orange County Environmental Protection (Florida),21FLORAN-111271590-011990-0,Sample,Water,Water,1990-01-10,09:07:00,EST,,,,0.5,m,,,,,,AMB,,21FLORAN-BE9W,,,,,SP-001,SP-001,SP-001,Unknown,,Lead,Total,0.001,mg/l,,Final,,Actual,,,,,,"Units, MDL and Qualifier Code Corrections 8/31/05 LLD QAO",,,,,,,200.7(W),USEPA,,,Orange County Environmental Protection Div Curry Ford Lab,,,,0.001,mg/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,10:45:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-109,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,2.7,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1990-0000372-1990,Sample,Water,,1990-01-09,12:15:00,,,,,.33,ft,,,,,,NCLEGACY,,21NC01WQ-Q5990000,X-sec location horizontal: 50.0% from R bank facing upstream,,,,LEGACY,LEGACY,LEGACY,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21NC01WQ,,,,,,,10,ug/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,09:15:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-114,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,1.1,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21SCSANT,Santee Cooper - South Carolina Public Service Authority,21SCSANT-L12204913-W-WCTCC 01-1990-0,Sample,Water,,1990-01-10,11:00:00,,,,,1,ft,,,,,,ABS AMB,,21SCSANT-SC-035,,,,,LEGACY SCP,LEGACY SCP,LEGACY SCP,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,3500-PB(B),APHA,,,,,,,30,ug/l,,STORET
21FLSFWM,South Florida Water Management District,21FLSFWM-90SA09J05STQ-1990-0,Sample,Water,Surface Water,1990-01-09,10:05:00,EST,,,,.5,m,,,,,,ENP,,21FLSFWM-US41-25,,,,,G,G,G,Unknown,*Non-detect,Lead,Total,,,,Final,,Actual,,,,,,,,,,,,,WQ-1,21FLSFWM,,,SOUTH FLORIDA WATER MANAGEMENT DISTRICT,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,07:59:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-101,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,6.6,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,08:50:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-49,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,2.3,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21SCSANT,Santee Cooper - South Carolina Public Service Authority,21SCSANT-L12186660-W-CWSR 01-1990-0,Sample,Water,,1990-01-09,11:35:00,,,,,1,ft,,,,,,ABS AMB,,21SCSANT-SC-004,,,,,LEGACY SCP,LEGACY SCP,LEGACY SCP,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,3500-PB(B),APHA,,,,,,,30,ug/l,,STORET
21SCSANT,Santee Cooper - South Carolina Public Service Authority,21SCSANT-L12185980-W-CWSR 01-1990-0,Sample,Water,,1990-01-09,11:00:00,,,,,1,ft,,,,,,ABS AMB,,21SCSANT-SC-001,,,,,LEGACY SCP,LEGACY SCP,LEGACY SCP,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,3500-PB(B),APHA,,,,,,,30,ug/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,10:30:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-281,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,0.4,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21FLSFWM,South Florida Water Management District,21FLSFWM-90SA09I20STQ-1990-0,Sample,Water,Surface Water,1990-01-09,09:20:00,EST,,,,.5,m,,,,,,CAMB,,21FLSFWM-S333,,,,,G,G,G,Unknown,,Lead,Total,0.21,ug/l,,Final,,Actual,,,,,,,,,,,,,WQ-1,21FLSFWM,,,SOUTH FLORIDA WATER MANAGEMENT DISTRICT,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,10:30:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-6,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,0.4,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1990-0000359-1990,Sample,Water,,1990-01-09,09:45:00,,,,,.33,ft,,,,,,NCLEGACY,,21NC01WQ-Q5780000,X-sec location horizontal: 50.0% from R bank facing upstream,,,,LEGACY,LEGACY,LEGACY,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21NC01WQ,,,,,,,10,ug/l,,STORET
21SCSANT,Santee Cooper - South Carolina Public Service Authority,21SCSANT-L12193931-W-BS 01-1990-0,Sample,Water,,1990-01-03,10:30:00,,,,,1,ft,,,,,,ABS AMB,,21SCSANT-SC-018,,,,,LEGACY SCP,LEGACY SCP,LEGACY SCP,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,3500-PB(B),APHA,,,,,,,30,ug/l,,STORET
MWRD,Metro Waste Water Reclamation District (Colorado),MWRD-S91294-01101990,Sample,Water,,1990-01-10,08:48:00,MST,,,,,,,,,,,STREAM,,MWRD-SP-64,,,,,GRAB,GRAB,GRAB,WSBK,,Lead,Dissolved,0,ug/l,,Final,,Actual,,,,,,,,,,,,,239.2,USEPA,,,,,,,,,,STORET
MWRD,Metro Waste Water Reclamation District (Colorado),MWRD-S91294-01101990,Sample,Water,,1990-01-10,08:48:00,MST,,,,,,,,,,,STREAM,,MWRD-SP-64,,,,,GRAB,GRAB,GRAB,WSBK,,Lead,Dissolved,0,mg/l,,Final,,Actual,,,,,,,,,,,,,200.7(W),USEPA,,,,,,,,,,STORET
MWRD,Metro Waste Water Reclamation District (Colorado),MWRD-S90597-01031990,Sample,Water,,1990-01-03,09:20:00,MST,,,,,,,,,,,STREAM,,MWRD-SP-64,,,,,GRAB,GRAB,GRAB,WSBK,,Lead,Dissolved,0,ug/l,,Final,,Actual,,,,,,,,,,,,,239.2,USEPA,,,,,,,,,,STORET
MWRD,Metro Waste Water Reclamation District (Colorado),MWRD-S90597-01031990,Sample,Water,,1990-01-03,09:20:00,MST,,,,,,,,,,,STREAM,,MWRD-SP-64,,,,,GRAB,GRAB,GRAB,WSBK,,Lead,Dissolved,0,mg/l,,Final,,Actual,,,,,,,,,,,,,200.7(W),USEPA,,,,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,10:00:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-269,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,1.4,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,12:30:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-285,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,0.9,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,11:26:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-97,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,3.4,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,15:15:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-280,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,2.2,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,13:45:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-64,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,2.7,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1990-0000210-1990,Sample,Water,,1990-01-03,13:00:00,,,,,.33,ft,,,,,,NCLEGACY,,21NC01WQ-Q3460000,X-sec location horizontal: 95.0% from R bank facing upstream,,,,LEGACY,LEGACY,LEGACY,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21NC01WQ,,,,,,,10,ug/l,,STORET
21FLORAN,Orange County Environmental Protection (Florida),21FLORAN-111280837-011990-0,Sample,Water,Water,1990-01-08,12:00:00,EST,,,,0.5,m,,,,,,AMB,,21FLORAN-CC3,,,,,SP-001,SP-001,SP-001,Unknown,,Lead,Total,0.001,mg/l,,Final,,Actual,,,,,,"Units, MDL and Qualifier Code Corrections 8/31/05 LLD QAO",,,,,,,200.7(W),USEPA,,,Orange County Environmental Protection Div Curry Ford Lab,,,,0.001,mg/l,,STORET
21FLORAN,Orange County Environmental Protection (Florida),21FLORAN-111280836-011990-0,Sample,Water,Water,1990-01-08,12:00:00,EST,,,,0.5,m,,,,,,AMB,,21FLORAN-CC3,,,,,SP-001,SP-001,SP-001,Unknown,,Lead,Total,0.001,mg/l,,Final,,Actual,,,,,,"Units, MDL and Qualifier Code Corrections 8/31/05 LLD QAO",,,,,,,200.7(W),USEPA,,,Orange County Environmental Protection Div Curry Ford Lab,,,,0.001,mg/l,,STORET
21COL001,Colorado Dept. of Public Health & Environment,21COL001-1990-00643LW-COLO1990-0,Sample,Water,,1990-01-04,12:40:00,MST,,,,,,,,,,,SWMN,,21COL001-000033,,,,,HISTORIC,HISTORIC,HISTORIC,Unknown,*Non-detect,Lead,Dissolved,,,,Final,,Actual,,,,,,,,,,,,,HISTORIC,21COL001,,,Historic Lab for Legacy Data,,,,5.00000,ug/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,11:00:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-110,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,12.3,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1990-0000213-1990,Sample,Water,,1990-01-04,14:40:00,,,,,.33,ft,,,,,,NCLEGACY,,21NC01WQ-B2100000,X-sec location horizontal: 95.0% from R bank facing upstream,,,,LEGACY,LEGACY,LEGACY,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21NC01WQ,,,,,,,10,ug/l,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1990-0000003-1990,Sample,Water,,1990-01-02,10:00:00,,,,,.33,ft,,,,,,NCLEGACY,,21NC01WQ-O7650000,X-sec location horizontal: 50.0% from R bank facing upstream,,,,LEGACY,LEGACY,LEGACY,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21NC01WQ,,,,,,,10,ug/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,10:00:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-23,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,6.6,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,10:43:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-96,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,3.7,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1990-0000362-1990,Sample,Water,,1990-01-09,10:30:00,,,,,.33,ft,,,,,,NCLEGACY,,21NC01WQ-Q5910000,X-sec location horizontal: 5.0% from R bank facing upstream,,,,LEGACY,LEGACY,LEGACY,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,UNKNOWN,21NC01WQ,,,,,,,10,ug/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,11:25:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-21,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,7,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,15:15:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-65,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,3.1,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21FLORAN,Orange County Environmental Protection (Florida),21FLORAN-111271910-011990-0,Sample,Water,Water,1990-01-02,08:58:00,EST,,,,0.5,m,,,,,,AMB,,21FLORAN-BEA,,,,,SP-001,SP-001,SP-001,Unknown,,Lead,Total,0.001,mg/l,,Final,,Actual,,,,,,"Units, MDL and Qualifier Code Corrections 8/31/05 LLD QAO",,,,,,,200.7(W),USEPA,,,Orange County Environmental Protection Div Curry Ford Lab,,,,0.001,mg/l,,STORET
21FLORAN,Orange County Environmental Protection (Florida),21FLORAN-111271911-011990-0,Sample,Water,Water,1990-01-02,08:58:00,EST,,,,0.5,m,,,,,,AMB,,21FLORAN-BEA,,,,,SP-001,SP-001,SP-001,Unknown,,Lead,Total,0.001,mg/l,,Final,,Actual,,,,,,"Units, MDL and Qualifier Code Corrections 8/31/05 LLD QAO",,,,,,,200.7(W),USEPA,,,Orange County Environmental Protection Div Curry Ford Lab,,,,0.001,mg/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,10:45:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-81,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,8,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,09:15:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-139,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,0.4,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-08,11:15:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-7,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,0.4,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
21SCSANT,Santee Cooper - South Carolina Public Service Authority,21SCSANT-L12206887-W-LMS 01-1990-0,Sample,Water,,1990-01-04,10:00:00,,,,,1,ft,,,,,,ABS AMB,,21SCSANT-SC-037,,,,,LEGACY SCP,LEGACY SCP,LEGACY SCP,Unknown,,Lead,Total,0,ug/l,,Final,,Actual,,,,,,,,,,,,,3500-PB(B),APHA,,,,,,,30,ug/l,,STORET
LADEQWPD,LDEQ/Watershed Planning Division,LADEQWPD-SAMP61-011990-0,Sample,Water,,1990-01-09,08:20:00,CST,,,,,,,,,,,W1958001,,LADEQWPD-27,,,,,LDEQ,LDEQ,LDEQ,WSWB,,Lead,Total,3,ug/l,,Final,,Actual,,,,,,,,,,,,,UK_LAB,LADEQWPD,,,,,,,,,,STORET
